metric,greedy,bibs,improvement,better_when
arc_rmse,0.21817382912871386,0.15714426863282632,0.061029560495887536,lower
total_transition_cost,101.31005242317123,124.96921300988159,-23.659160586710357,lower
average_transition_cost,0.6799332377394042,0.8387195504018898,-0.15878631266248566,lower
global_coherence,0.771259268972085,0.6759152944490802,-0.0953439745230048,higher
anchor_alignment_cost,,1.923431626850252,,lower
