config_name,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,anchor_alignment_cost,longest_exact_camelot_run,number_of_runs_longer_than_3,max_camelot_jump,number_of_large_camelot_jumps,average_camelot_jump,max_ev_drop,number_of_large_ev_drops,number_of_large_ev_drops_after_high_energy,selected_bottleneck_anchors,energy_momentum_penalties_applied,harmonic_penalties_applied,harmonic_motion_penalties_applied,composite_score
baseline_current,0.2035441429247711,210.40596906564508,0.7036988931961374,0.729257461522542,1.5872963594465075,6,11,4,11,0.8963210702341137,0.3883526477400724,41,17,5,48411,15637,361201,0.31868910319937027
bottleneck_light,0.2035441429247711,210.40596906564508,0.7036988931961374,0.729257461522542,1.5872963594465075,6,11,4,11,0.8963210702341137,0.3883526477400724,41,17,5,48286,15637,361199,0.31868910319937027
bottleneck_strong,0.2035441429247711,210.40596906564508,0.7036988931961374,0.729257461522542,1.5872963594465075,6,11,4,11,0.8963210702341137,0.3883526477400724,41,17,5,48411,15635,361200,0.31868910319937027
stronger_energy_momentum,0.2037584277087395,210.87388888600856,0.7052638424281222,0.7275098356452941,1.6069447335131344,6,11,4,12,0.9230769230769231,0.38299922265231906,37,16,4,59195,15901,365135,0.3454133055820079
balanced_dj_flow,0.19768730165919404,205.84160565997934,0.6884334637457503,0.7477690512453126,1.6248561902856802,8,9,5,26,0.9163879598662207,0.3862870652159938,47,25,6,51590,17763,351884,0.39310778726005685
stronger_arc,0.19023007306978926,214.0095388815581,0.7157509661590571,0.7189758137714788,1.7679695203271144,7,8,4,7,0.8494983277591973,0.3898943477356914,38,17,11,48852,17533,352369,0.4938523613191128
softer_harmonic_motion,0.20086679855410514,212.90586528248323,0.7120597501086395,0.713974292829942,1.6122720287621823,8,12,4,29,0.9498327759197325,0.5429463552140796,40,23,5,49553,12974,328958,0.6984054170514592
stronger_transition,0.21620239930109134,211.27191254664328,0.7065950252396096,0.7155771389827978,1.6054682511792118,7,15,4,21,0.9565217391304348,0.38299922265231906,45,24,2,49074,22008,330756,0.7072058211487681
