genre,mean_greedy_arc_rmse,mean_greedy_total_transition_cost,mean_greedy_average_transition_cost,mean_greedy_global_coherence,mean_bibs_arc_rmse,mean_bibs_total_transition_cost,mean_bibs_average_transition_cost,mean_bibs_global_coherence,mean_bibs_anchor_alignment_cost,mean_arc_rmse_improvement,mean_total_transition_improvement,mean_average_transition_improvement,mean_global_coherence_improvement,number_of_runs,arc_rmse_win_rate,average_transition_win_rate,global_coherence_win_rate,all_official_metrics_win_rate
dance,0.19146464580664896,108.64030166303027,0.5459311641358304,0.789258074144424,0.1737214922934773,113.74009739475662,0.5715582783656112,0.777244086953973,3.436338365871061,0.01774315351317162,-5.099795731726348,-0.02562711422978068,-0.012013987190450926,5,0.8,0.0,0.0,0.0
edm,0.15806823756055147,106.76843867708075,0.5365248174727677,0.7839943281676942,0.14654365404996145,111.85224971521336,0.5620716066091124,0.7708187940029912,3.206315498762136,0.011524583510590011,-5.083811038132592,-0.025546789136344672,-0.013175534164702985,5,1.0,0.0,0.0,0.0
pop,0.17510315691035516,119.25617773331632,0.5992772750417905,0.8092633657588669,0.1578609046116322,122.76498409535307,0.6169094678158445,0.8053467119941693,3.6578922745140607,0.01724225229872295,-3.508806362036745,-0.017632192774054034,-0.003916653764697542,5,1.0,0.0,0.2,0.0
