genre,seed,pool_size,greedy_arc_rmse,greedy_total_transition_cost,greedy_average_transition_cost,greedy_global_coherence,bibs_arc_rmse,bibs_total_transition_cost,bibs_average_transition_cost,bibs_global_coherence,bibs_anchor_alignment_cost,arc_rmse_improvement,total_transition_improvement,average_transition_improvement,global_coherence_improvement,bibs_wins_arc_rmse,bibs_wins_average_transition,bibs_wins_global_coherence,bibs_wins_all_official_metrics
pop,1,200,0.16590286616253236,118.8869735191713,0.5974219774832729,0.8077314147729244,0.1655279230207829,119.04079894942892,0.5981949695951202,0.8172984507073273,4.100342551386387,0.00037494314174946197,-0.15382543025761208,-0.0007729921118473371,0.00956703593440289,True,False,True,False
pop,2,200,0.18171397746341714,119.00423214181328,0.5980112167930315,0.8060643768481682,0.16556870846052352,122.02605873063892,0.6131962750283363,0.7982846760663778,3.0399262643615916,0.01614526900289362,-3.021826588825647,-0.015185058235304805,-0.007779700781790466,True,False,False,False
pop,3,200,0.17428029957638716,120.3620185867796,0.6048342642551738,0.8132260034138012,0.15030246338897552,124.94917929171649,0.6278853230739522,0.8048120702194088,4.4833189204562665,0.023977836187411644,-4.587160704936892,-0.023051058818778336,-0.008413933194392431,True,False,False,False
pop,4,200,0.19287159265633885,115.37721823625456,0.5797850162625857,0.8216811061626268,0.147834574270646,120.93219564066179,0.6076994755812151,0.8113997623146285,3.323570869430971,0.04503701838569285,-5.554977404407225,-0.027914459318629348,-0.010281343847998281,True,False,False,False
pop,5,200,0.16074704869310028,122.65044618256283,0.6163339004148886,0.7976139275968136,0.1600708539172331,126.87668786431918,0.6375712958005989,0.7949386006631042,3.3423027669350898,0.0006761947758671671,-4.226241681756349,-0.021237395385710345,-0.002675326933709421,True,False,False,False
dance,1,200,0.20333911651475292,109.76633294521625,0.5515896127900314,0.7869949932671018,0.1820254086125284,114.35875351937685,0.5746671031124465,0.7780551886056356,3.743425365930917,0.021313707902224532,-4.592420574160599,-0.02307749032241513,-0.008939804661466155,True,False,False,False
dance,2,200,0.17182882135234373,107.22856645432805,0.5388370173584324,0.7950957982855754,0.1732940331227593,112.48149506978056,0.5652336435667366,0.7822483258485228,4.0348738533530035,-0.0014652117704155587,-5.252928615452518,-0.026396626208304186,-0.012847472437052643,False,False,False,False
dance,3,200,0.1997694964459114,106.45147217125677,0.5349320209610893,0.7848165417397752,0.16753987379848675,110.54304593647548,0.555492693148118,0.779708191382649,3.199069210900509,0.032229622647424655,-4.091573765218712,-0.020560672187028728,-0.005108350357126201,True,False,False,False
dance,4,200,0.20155331505966706,110.04354914868892,0.5529826590386379,0.7802598673618817,0.1765182892289793,115.31195964146995,0.5794570836254772,0.7652604316851048,3.5755015335873446,0.025035025830687757,-5.26841049278103,-0.02647442458683935,-0.014999435676776862,True,False,False,False
dance,5,200,0.18083247966056956,109.71158759566134,0.5513145105309615,0.7991231700677854,0.16922985670463284,116.00523280668023,0.5829408683752775,0.7809482972479527,2.6288218655835314,0.011602622955936726,-6.293645211018884,-0.031626357844316,-0.018174872819832766,True,False,False,False
edm,1,200,0.19715050006340903,110.9034102470119,0.5573035690804619,0.7824561364529706,0.17459530320291985,116.18350162857207,0.5838366916008647,0.7660578624240468,3.3102728016277845,0.02255519686048918,-5.280091381560169,-0.026533122520402852,-0.016398274028923798,True,False,False,False
edm,2,200,0.16192455513214676,104.86929108437528,0.5269813622330416,0.7810722414851161,0.15787960579467597,108.7286267375319,0.5463750087313161,0.7772226959996815,2.5565026288397483,0.0040449493374707934,-3.85933565315662,-0.019393646498274464,-0.003849545485434591,True,False,False,False
edm,3,200,0.13696060206143618,107.6427440919735,0.5409183120199673,0.789721581796101,0.12311269432379805,114.86590737266445,0.5772156149380123,0.7635468722301065,4.046841731485594,0.013847907737638124,-7.2231632806909545,-0.036297302918045005,-0.026174709565994436,True,False,False,False
edm,4,200,0.17051523961611204,106.18734212557425,0.533604734299368,0.7856796147843821,0.1692127358889981,110.3572311411517,0.5545589504580487,0.7776540638911348,3.518313305329672,0.001302503727113935,-4.1698890155774535,-0.02095421615868065,-0.008025550893247302,True,False,False,False
edm,5,200,0.12379029092965334,104.23940583646889,0.5238161097309995,0.7810420663199014,0.10791793103941531,109.12598169614665,0.5483717673173198,0.7696124754699866,2.5996470265278795,0.015872359890238025,-4.886575859677762,-0.02455565758632039,-0.011429590849914795,True,False,False,False
