metric,greedy,bibs,improvement,better_when
arc_rmse,0.1640589865683391,0.13209021605734184,0.03196877051099725,lower
total_transition_cost,160.70892519040254,220.50890576927256,-59.79998057887002,lower
average_transition_cost,0.5374880441150587,0.7374879791614467,-0.19999993504638802,lower
global_coherence,0.8511482351676929,0.7283017479755768,-0.1228464871921161,higher
anchor_alignment_cost,,1.6384921761124225,,lower
