method,arc_optimized,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,diversity
random,False,0.2208635703098676,363.0391985053333,2.436504687955257,-0.024534224540836425,3.7127520255320583,4.235833669541829,19.902103609276796,0.33773917999232755,
transition_greedy,False,0.22481847268525332,112.537364183028,0.7552843233760269,0.8876746038945131,1.4431876441028306,2.7603239263078487,20.19563610672525,0.3535050847474689,
arc_assignment,True,0.06810536791069043,344.0936741781407,2.3093535179740985,0.0577764137771587,3.695848355245167,4.4178825180486,4.60393934304963,0.16628113847261153,
flexer_interp,True,0.0893352312244113,345.4282705156886,2.318310540373749,0.061340926782855076,3.580898029860319,4.175342631965618,8.839531445207522,0.14670660795045717,
forward_beam,True,0.21635872734434364,121.77009516917197,0.817248960866926,0.8670705908332604,1.5738443167923366,2.854682076641728,19.89987022030945,0.3437805558344683,
mm_beam,True,0.18856384105795868,121.50502251497743,0.8154699497649491,0.8649607672920226,1.5617554319041924,2.9830844077624685,16.379516496337885,0.3094623588672365,
greedy_arc_trans,True,0.1950018807462811,115.7418373921164,0.7767908549806469,0.8740179226108333,1.3819853484807272,3.792237186622284,19.519677244518707,0.30873371131128,
greedy_arc_trans+repair,True,0.19498659381638941,114.68952384125042,0.7697283479278552,0.876878509004802,1.380260583170953,3.792237186622284,19.5122395546158,0.308775611524319,
bibs_current,True,0.20574642665610124,152.45914451332447,1.023215734988755,0.7723652321848078,2.2933487800451764,3.3713811144345116,19.406870479918997,0.32575656433488925,
bibs_current+repair,True,0.20617164954937284,147.48990797313795,0.9898651541821338,0.8032506805616662,1.9238011785321012,2.982165030322017,19.523996711105507,0.326005918451926,
bibs_eligibility,True,0.20574642665610124,152.45914451332447,1.023215734988755,0.7723652321848078,2.2933487800451764,3.3713811144345116,19.406870479918997,0.32575656433488925,
bibs_commit,True,0.2037082995492653,154.9624546811448,1.0400164743700995,0.7439237033892165,2.6610799064662904,4.366946643862513,19.90732657822404,0.32270049987587535,
bibs_stochastic(mean5),True,0.20148764336184882,157.68415049362758,1.058282889218977,0.7431745513017635,2.6310612907602366,3.9747876092290837,19.339030511512238,0.31784344284734667,0.8913333333333334
bibs_stoch_elig+repair(mean5),True,0.20071481434275582,150.0140740340422,1.0068058660002834,0.7861881939053441,2.1741050574493226,3.315553748247963,19.156799472003883,0.3157722150602681,0.9253333333333333
