method,genre_set,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
mm_beam_orch_stochastic,classical+new-age+ambient,0.19346,87.80784,0.9866,0.82312,1.6005,1.82814,2.4287,9.37102,0.30835,0.0,0.03447
mm_beam_orch_stochastic_repair,classical+new-age+ambient,0.19359,87.54305,0.98363,0.82608,1.59083,1.75167,2.38996,9.36104,0.30848,0.261,0.29543
bibs_tempo_aware,classical+new-age+ambient,0.19217,112.38062,1.2627,0.65197,2.36204,3.2648,4.36441,9.73317,0.32167,8.40167,8.43613
bibs_alpha2,classical+new-age+ambient,0.20105,120.83801,1.35773,0.59163,2.93073,3.55155,4.26544,10.31149,0.3336,6.64763,6.6821
mm_beam_alpha2,classical+new-age+ambient,0.18523,91.32892,1.02617,0.80233,1.63339,1.95658,3.25026,8.71117,0.32084,0.15837,0.1928
bibs_traj_first,classical+new-age+ambient,0.20184,115.58603,1.29872,0.62254,2.7617,3.47821,4.69035,10.54561,0.32817,6.40503,6.4395
random,new-age+ambient+classical,0.22952,211.75295,2.37925,0.01004,3.47917,3.80575,4.47823,12.36979,0.32877,0.00022,0.03357
transition_greedy,new-age+ambient+classical,0.22778,83.60965,0.93943,0.82502,1.47511,1.85822,2.90862,11.26647,0.32155,0.00043,0.0338
arc_assignment,new-age+ambient+classical,0.15037,204.09885,2.29325,0.07277,3.39468,3.5869,4.10839,6.75445,0.28024,0.00068,0.03407
flexer_interp,new-age+ambient+classical,0.19026,203.73625,2.28917,0.06945,3.33226,3.64248,4.27613,8.59148,0.23055,0.0031,0.03645
forward_beam,new-age+ambient+classical,0.20122,87.75186,0.98598,0.80396,1.5533,1.95012,3.24104,10.5924,0.31315,0.116,0.14937
mm_beam,new-age+ambient+classical,0.19696,85.81315,0.96419,0.81953,1.56729,1.82813,2.8239,9.55178,0.30107,0.1985,0.23187
greedy_arc_trans,new-age+ambient+classical,0.20926,84.9321,0.95429,0.81343,1.45499,1.83473,3.38114,10.93491,0.32014,0.00093,0.03428
bibs_current,new-age+ambient+classical,0.20714,111.3973,1.25166,0.6594,2.15381,2.9302,4.40739,11.26123,0.31713,0.0,0.03338
bibs_repair,new-age+ambient+classical,0.20749,104.961,1.17934,0.72322,1.97276,2.33591,3.2281,11.27201,0.31727,0.15452,0.18788
bibs_stochastic,new-age+ambient+classical,0.20405,113.5458,1.2758,0.63989,2.33207,3.1098,4.29587,11.03197,0.31004,0.0,0.03338
bibs_stoch_repair,new-age+ambient+classical,0.20475,104.73837,1.17684,0.72731,1.99164,2.39153,3.036,10.97523,0.31019,0.16683,0.20017
bibs_parallel,new-age+ambient+classical,0.19729,144.75642,1.62648,0.47014,2.88876,3.17121,4.02168,10.01075,0.30771,0.0147,0.04805
mm_beam_stochastic,new-age+ambient+classical,0.19696,85.81315,0.96419,0.81953,1.56729,1.82813,2.8239,9.55178,0.30107,0.0,0.03338
mm_beam_stochastic_repair,new-age+ambient+classical,0.1971,85.25744,0.95795,0.82241,1.56268,1.80243,2.73796,9.55627,0.30142,0.20852,0.24188
mm_beam_orch_stochastic,new-age+ambient+classical,0.19696,85.81315,0.96419,0.81953,1.56729,1.82813,2.8239,9.55178,0.30107,0.0,0.03338
mm_beam_orch_stochastic_repair,new-age+ambient+classical,0.1971,85.25744,0.95795,0.82241,1.56268,1.80243,2.73796,9.55627,0.30142,0.17513,0.2085
bibs_tempo_aware,new-age+ambient+classical,0.21174,111.75018,1.25562,0.66425,2.15183,2.88186,4.09201,11.09226,0.31385,9.95652,9.98988
bibs_alpha2,new-age+ambient+classical,0.21886,118.07026,1.32663,0.60657,2.71946,3.20703,4.11928,11.62369,0.3335,9.26362,9.29698
mm_beam_alpha2,new-age+ambient+classical,0.22053,90.34281,1.01509,0.79547,1.63073,1.95635,3.06291,10.69156,0.32766,0.19192,0.22528
bibs_traj_first,new-age+ambient+classical,0.20714,111.3973,1.25166,0.6594,2.15381,2.9302,4.40739,11.26123,0.31713,9.31247,9.34585
random,disco+latin+synth-pop,0.17866,194.0796,2.18067,-0.00808,3.2275,3.43888,3.97149,10.08277,0.32036,0.00013,0.0342
transition_greedy,disco+latin+synth-pop,0.18388,71.77417,0.80645,0.83967,1.36006,1.67957,2.69636,9.93614,0.31673,0.00037,0.03443
arc_assignment,disco+latin+synth-pop,0.09139,183.97482,2.06713,0.0691,3.20064,3.45431,3.93504,3.79627,0.24853,0.0004,0.03447
flexer_interp,disco+latin+synth-pop,0.12771,185.41187,2.08328,0.0671,3.17934,3.40236,3.96074,6.23392,0.19861,0.0033,0.03737
forward_beam,disco+latin+synth-pop,0.18036,76.85042,0.86349,0.80921,1.40804,1.91404,2.89337,9.26011,0.32587,0.1008,0.13487
mm_beam,disco+latin+synth-pop,0.16383,74.00098,0.83147,0.83162,1.32147,1.63934,2.67118,8.82387,0.30215,0.18437,0.2184
greedy_arc_trans,disco+latin+synth-pop,0.17912,73.96195,0.83103,0.82021,1.32235,1.73191,3.27887,9.56227,0.32457,0.001,0.03507
bibs_current,disco+latin+synth-pop,0.17326,95.70147,1.0753,0.68522,1.8723,2.55416,4.18445,8.44595,0.31658,0.0,0.03407
bibs_repair,disco+latin+synth-pop,0.1703,88.21861,0.99122,0.75769,1.68936,2.09073,2.80328,8.51716,0.3153,0.11137,0.14543
bibs_stochastic,disco+latin+synth-pop,0.17605,92.02289,1.03397,0.71551,1.79684,2.20194,3.83507,9.07733,0.33188,0.0,0.03407
bibs_stoch_repair,disco+latin+synth-pop,0.17499,87.26669,0.98052,0.76492,1.70823,2.0049,3.0528,9.03572,0.33132,0.10707,0.1411
bibs_parallel,disco+latin+synth-pop,0.16659,136.79749,1.53705,0.41834,2.72553,2.99798,3.9113,9.02312,0.31506,0.00863,0.0427
mm_beam_stochastic,disco+latin+synth-pop,0.16383,74.00098,0.83147,0.83162,1.32147,1.63934,2.67118,8.82387,0.30215,0.0,0.03407
mm_beam_stochastic_repair,disco+latin+synth-pop,0.16369,73.84822,0.82976,0.83325,1.32538,1.64595,2.67118,8.81337,0.30219,0.11747,0.15153
mm_beam_orch_stochastic,disco+latin+synth-pop,0.16383,74.00098,0.83147,0.83162,1.32147,1.63934,2.67118,8.82387,0.30215,0.0,0.03407
mm_beam_orch_stochastic_repair,disco+latin+synth-pop,0.16369,73.84822,0.82976,0.83325,1.32538,1.64595,2.67118,8.81337,0.30219,0.11963,0.1537
bibs_tempo_aware,disco+latin+synth-pop,0.17716,97.08836,1.09088,0.66374,2.10877,2.74397,4.16394,9.00091,0.32408,6.51617,6.55023
bibs_alpha2,disco+latin+synth-pop,0.17585,93.74542,1.05332,0.69958,1.81898,2.58972,3.9416,9.28091,0.32897,6.2694,6.3035
mm_beam_alpha2,disco+latin+synth-pop,0.16514,76.18689,0.85603,0.82176,1.47391,1.73644,2.63592,8.74514,0.31999,0.13717,0.17123
bibs_traj_first,disco+latin+synth-pop,0.17326,95.70147,1.0753,0.68522,1.8723,2.55416,4.18445,8.44595,0.31658,6.41047,6.44453
random,indie-pop+pop+malay,0.20436,196.57085,2.20866,0.0875,3.26825,3.52301,3.8187,11.37594,0.34328,0.00017,0.03473
transition_greedy,indie-pop+pop+malay,0.19976,77.50925,0.87089,0.83871,1.34478,1.77749,3.03419,10.94806,0.33694,0.00043,0.035
arc_assignment,indie-pop+pop+malay,0.09555,204.39446,2.29657,0.00507,3.32393,3.56635,4.3532,4.30565,0.23517,0.00057,0.03517
flexer_interp,indie-pop+pop+malay,0.12453,194.42947,2.1846,0.0912,3.31321,3.64336,4.01046,5.72403,0.1636,0.00283,0.0374
forward_beam,indie-pop+pop+malay,0.17654,81.20312,0.91239,0.82145,1.41502,1.91711,3.21443,9.29038,0.3178,0.091,0.1256
mm_beam,indie-pop+pop+malay,0.16757,79.05478,0.88826,0.83817,1.43099,1.73886,2.57054,8.64234,0.29522,0.17057,0.20517
greedy_arc_trans,indie-pop+pop+malay,0.18042,78.108,0.87762,0.84104,1.35889,1.75298,2.66332,9.59092,0.31048,0.00083,0.03543
bibs_current,indie-pop+pop+malay,0.18225,106.39719,1.19547,0.6507,2.05797,3.14701,4.16587,9.47826,0.33267,0.0,0.03457
bibs_repair,indie-pop+pop+malay,0.18286,98.27802,1.10425,0.73812,1.93833,2.26741,3.28435,9.43346,0.33235,0.12277,0.15733
bibs_stochastic,indie-pop+pop+malay,0.18217,108.55067,1.21967,0.65153,2.25691,2.76164,4.22626,9.86228,0.34323,0.0,0.03457
bibs_stoch_repair,indie-pop+pop+malay,0.1816,100.11101,1.12484,0.73132,1.93272,2.2429,3.22522,9.96715,0.3431,0.0973,0.13187
bibs_parallel,indie-pop+pop+malay,0.16429,140.03063,1.57338,0.48286,2.72419,2.96202,3.6015,9.07925,0.27864,0.01177,0.04637
mm_beam_stochastic,indie-pop+pop+malay,0.16757,79.05478,0.88826,0.83817,1.43099,1.73886,2.57054,8.64234,0.29522,0.0,0.03457
mm_beam_stochastic_repair,indie-pop+pop+malay,0.16763,78.95861,0.88718,0.83824,1.4375,1.73656,2.57054,8.65407,0.29534,0.1302,0.16473
mm_beam_orch_stochastic,indie-pop+pop+malay,0.16757,79.05478,0.88826,0.83817,1.43099,1.73886,2.57054,8.64234,0.29522,0.0,0.03457
mm_beam_orch_stochastic_repair,indie-pop+pop+malay,0.16763,78.95861,0.88718,0.83824,1.4375,1.73656,2.57054,8.65407,0.29534,0.13873,0.17327
bibs_tempo_aware,indie-pop+pop+malay,0.18436,109.54463,1.23084,0.64299,2.44363,2.93824,3.95622,9.35412,0.31887,6.87143,6.90603
bibs_alpha2,indie-pop+pop+malay,0.19161,108.6257,1.22051,0.65086,2.27795,2.99389,3.83809,10.13259,0.34379,6.52337,6.55797
mm_beam_alpha2,indie-pop+pop+malay,0.17988,84.05523,0.94444,0.81185,1.5487,1.87786,2.85605,9.57554,0.31501,0.14707,0.18167
bibs_traj_first,indie-pop+pop+malay,0.18225,106.39719,1.19547,0.6507,2.05797,3.14701,4.16587,9.47826,0.33267,6.34637,6.38097
random,folk+indian+pop-film,0.20038,207.19026,2.32798,0.00845,3.35897,3.55359,4.08607,10.64841,0.32174,0.00017,0.02623
transition_greedy,folk+indian+pop-film,0.20788,79.85566,0.89725,0.82854,1.33741,1.66546,3.74403,9.76813,0.32031,0.00037,0.02647
arc_assignment,folk+indian+pop-film,0.12497,193.05651,2.16917,0.12951,3.23505,3.57032,4.17923,5.76262,0.28356,0.00053,0.02663
flexer_interp,folk+indian+pop-film,0.18737,199.68839,2.24369,0.07996,3.20954,3.48515,3.99336,7.70549,0.20848,0.00253,0.02863
forward_beam,folk+indian+pop-film,0.18839,84.11196,0.94508,0.8166,1.49941,1.85734,2.83401,9.73191,0.32435,0.09173,0.1178
mm_beam,folk+indian+pop-film,0.17901,83.19993,0.93483,0.82375,1.49677,1.74621,2.62135,7.82053,0.30578,0.19627,0.2223
greedy_arc_trans,folk+indian+pop-film,0.18855,83.92424,0.94297,0.80563,1.45801,1.89519,3.57324,9.57404,0.32352,0.00097,0.027
bibs_current,folk+indian+pop-film,0.18697,110.24352,1.23869,0.63031,2.35717,3.29524,4.03179,9.98682,0.32678,0.0,0.02607
bibs_repair,folk+indian+pop-film,0.18904,98.79904,1.1101,0.74412,1.92019,2.20782,3.20287,10.09631,0.32665,0.18053,0.2066
bibs_stochastic,folk+indian+pop-film,0.19378,110.39512,1.24039,0.63177,2.37458,2.88907,4.30609,10.40822,0.32897,0.0,0.02607
bibs_stoch_repair,folk+indian+pop-film,0.19346,100.47673,1.12895,0.72987,1.95256,2.26649,3.35977,10.41749,0.32871,0.1572,0.1833
bibs_parallel,folk+indian+pop-film,0.18789,145.48618,1.63468,0.45508,2.71496,3.09327,4.20182,9.23165,0.3234,0.01677,0.04287
mm_beam_stochastic,folk+indian+pop-film,0.17901,83.19993,0.93483,0.82375,1.49677,1.74621,2.62135,7.82053,0.30578,0.0,0.02607
mm_beam_stochastic_repair,folk+indian+pop-film,0.17925,82.48891,0.92684,0.8306,1.49486,1.71769,2.26247,7.90874,0.30594,0.1784,0.2045
mm_beam_orch_stochastic,folk+indian+pop-film,0.17901,83.19993,0.93483,0.82375,1.49677,1.74621,2.62135,7.82053,0.30578,0.0,0.02607
mm_beam_orch_stochastic_repair,folk+indian+pop-film,0.17925,82.48891,0.92684,0.8306,1.49486,1.71769,2.26247,7.90874,0.30594,0.21607,0.24213
bibs_tempo_aware,folk+indian+pop-film,0.18419,106.36319,1.19509,0.6773,2.10006,2.92775,3.69479,9.65781,0.32585,10.02153,10.04763
bibs_alpha2,folk+indian+pop-film,0.19038,111.43947,1.25213,0.62773,2.50806,3.1756,4.09388,9.98094,0.33346,9.45717,9.48327
mm_beam_alpha2,folk+indian+pop-film,0.17534,83.65897,0.93999,0.81976,1.52779,1.80121,2.73595,8.41538,0.29814,0.20087,0.22697
bibs_traj_first,folk+indian+pop-film,0.18697,110.24352,1.23869,0.63031,2.35717,3.29524,4.03179,9.98682,0.32678,9.24817,9.27427
random,ska+party+punk-rock,0.19927,186.21673,2.09232,-0.02711,3.20558,3.42173,3.97551,9.61259,0.31434,0.0002,0.0377
transition_greedy,ska+party+punk-rock,0.20384,71.6086,0.80459,0.80803,1.46191,1.77854,3.09763,9.16589,0.32954,0.0005,0.038
arc_assignment,ska+party+punk-rock,0.06844,169.72851,1.90706,0.13432,2.94859,3.17127,3.7896,2.91499,0.26463,0.0006,0.03807
flexer_interp,ska+party+punk-rock,0.15913,184.04971,2.06797,-0.00364,3.1293,3.37023,3.99251,7.87597,0.23295,0.00357,0.04103
forward_beam,ska+party+punk-rock,0.17707,75.07794,0.84357,0.79407,1.53545,1.98694,2.99711,8.71409,0.33449,0.1082,0.1457
mm_beam,ska+party+punk-rock,0.15959,73.71251,0.82823,0.8077,1.49506,1.87523,2.63682,7.48146,0.3116,0.19527,0.23277
greedy_arc_trans,ska+party+punk-rock,0.18129,73.48733,0.8257,0.8003,1.57394,1.78366,3.43684,8.61024,0.31997,0.0009,0.0384
bibs_current,ska+party+punk-rock,0.18097,94.75329,1.06464,0.66632,1.98859,2.33249,4.12093,8.75687,0.33158,0.0,0.0375
bibs_repair,ska+party+punk-rock,0.17957,89.47519,1.00534,0.72241,1.89819,2.12272,2.95057,8.70024,0.33125,0.18003,0.2175
bibs_stochastic,ska+party+punk-rock,0.18335,96.33635,1.08243,0.63147,2.1621,2.82276,3.87069,9.07287,0.33588,0.0,0.0375
bibs_stoch_repair,ska+party+punk-rock,0.18379,86.19146,0.96844,0.73953,1.80583,2.0965,2.92244,9.05277,0.33619,0.25663,0.29417
bibs_parallel,ska+party+punk-rock,0.15007,129.8279,1.45874,0.44726,2.54832,2.82851,3.48399,7.65255,0.30085,0.02287,0.06037
mm_beam_stochastic,ska+party+punk-rock,0.15959,73.71251,0.82823,0.8077,1.49506,1.87523,2.63682,7.48146,0.3116,0.0,0.0375
mm_beam_stochastic_repair,ska+party+punk-rock,0.1586,73.30975,0.82371,0.81102,1.42203,1.85109,2.50251,7.50381,0.31167,0.26513,0.30263
mm_beam_orch_stochastic,ska+party+punk-rock,0.15959,73.71251,0.82823,0.8077,1.49506,1.87523,2.63682,7.48146,0.3116,0.0,0.0375
mm_beam_orch_stochastic_repair,ska+party+punk-rock,0.1586,73.30975,0.82371,0.81102,1.42203,1.85109,2.50251,7.50381,0.31167,0.16727,0.20473
bibs_tempo_aware,ska+party+punk-rock,0.17617,96.10013,1.07978,0.62578,2.00673,2.88309,4.31749,8.61755,0.32866,8.29137,8.32887
bibs_alpha2,ska+party+punk-rock,0.17787,100.9722,1.13452,0.6003,2.32612,2.96269,3.9149,8.70287,0.3348,7.96443,8.00197
mm_beam_alpha2,ska+party+punk-rock,0.16461,76.53235,0.85991,0.78939,1.56188,1.76728,3.07847,7.49277,0.32151,0.16207,0.19957
bibs_traj_first,ska+party+punk-rock,0.18097,94.75329,1.06464,0.66632,1.98859,2.33249,4.12093,8.75687,0.33158,7.7295,7.767
random,rock-n-roll+bluegrass+blues,0.17978,186.75215,2.09834,0.00265,3.27637,3.58921,3.99593,9.97948,0.30715,0.0001,0.02043
transition_greedy,rock-n-roll+bluegrass+blues,0.18399,75.42756,0.8475,0.81084,1.41613,1.92526,2.57196,9.61103,0.32294,0.00023,0.02057
arc_assignment,rock-n-roll+bluegrass+blues,0.08401,178.89962,2.01011,0.0673,3.22437,3.46469,4.02818,4.20149,0.2592,0.00037,0.0207
flexer_interp,rock-n-roll+bluegrass+blues,0.13927,176.98076,1.98855,0.09989,2.97988,3.41888,4.10351,6.86447,0.20541,0.00173,0.02207
forward_beam,rock-n-roll+bluegrass+blues,0.17443,78.83193,0.88575,0.79411,1.48444,1.88736,2.81192,9.05951,0.33173,0.05343,0.07377
mm_beam,rock-n-roll+bluegrass+blues,0.16569,78.23929,0.87909,0.80241,1.54415,1.75134,2.559,8.07289,0.31777,0.1306,0.15093
greedy_arc_trans,rock-n-roll+bluegrass+blues,0.16939,76.73333,0.86217,0.80224,1.40779,1.83739,3.05295,9.35254,0.32209,0.00053,0.0209
bibs_current,rock-n-roll+bluegrass+blues,0.16856,103.86035,1.16697,0.58788,2.38377,3.06739,4.34571,9.24091,0.31983,0.0,0.02033
bibs_repair,rock-n-roll+bluegrass+blues,0.16813,94.8598,1.06584,0.70005,1.90977,2.33505,2.94486,9.07388,0.31901,0.08477,0.1051
bibs_stochastic,rock-n-roll+bluegrass+blues,0.16934,104.04514,1.16905,0.59512,2.2795,2.91954,4.15333,8.98053,0.32299,0.0,0.02033
bibs_stoch_repair,rock-n-roll+bluegrass+blues,0.16833,94.10917,1.05741,0.71035,1.83645,2.21648,3.28254,9.00713,0.32252,0.1535,0.1738
bibs_parallel,rock-n-roll+bluegrass+blues,0.14405,123.81919,1.39123,0.52223,2.35152,2.55921,3.73671,7.70758,0.29137,0.01747,0.0378
mm_beam_stochastic,rock-n-roll+bluegrass+blues,0.16569,78.23929,0.87909,0.80241,1.54415,1.75134,2.559,8.07289,0.31777,0.0,0.02033
mm_beam_stochastic_repair,rock-n-roll+bluegrass+blues,0.16563,78.15318,0.87813,0.80352,1.54415,1.72278,2.61434,8.06364,0.31796,0.23643,0.2568
mm_beam_orch_stochastic,rock-n-roll+bluegrass+blues,0.16569,78.23929,0.87909,0.80241,1.54415,1.75134,2.559,8.07289,0.31777,0.0,0.02033
mm_beam_orch_stochastic_repair,rock-n-roll+bluegrass+blues,0.16563,78.15318,0.87813,0.80352,1.54415,1.72278,2.61434,8.06364,0.31796,0.20417,0.22453
bibs_tempo_aware,rock-n-roll+bluegrass+blues,0.16422,98.71012,1.1091,0.64772,2.13879,2.69718,3.79749,8.81251,0.32688,5.91223,5.93257
bibs_alpha2,rock-n-roll+bluegrass+blues,0.16823,103.23067,1.1599,0.61393,2.23974,2.95875,3.83582,9.09113,0.32905,4.6643,4.6846
mm_beam_alpha2,rock-n-roll+bluegrass+blues,0.16934,80.51733,0.90469,0.78477,1.50163,1.73208,3.14402,7.50953,0.32019,0.1182,0.13857
bibs_traj_first,rock-n-roll+bluegrass+blues,0.16856,103.86035,1.16697,0.58788,2.38377,3.06739,4.34571,9.24091,0.31983,4.5752,4.59553
random,k-pop+spanish+swedish,0.17991,194.25723,2.18267,0.09221,3.23796,3.47532,3.83634,9.74734,0.32433,0.00013,0.01897
transition_greedy,k-pop+spanish+swedish,0.18496,74.97238,0.84239,0.84158,1.38387,1.64412,3.0469,9.26842,0.33731,0.0003,0.01913
arc_assignment,k-pop+spanish+swedish,0.07573,190.49452,2.14039,0.11447,3.13879,3.45049,3.94272,3.07225,0.25719,0.0004,0.0192
flexer_interp,k-pop+spanish+swedish,0.13665,199.54452,2.24207,0.04487,3.19243,3.55923,4.06976,7.08947,0.24291,0.00233,0.0212
forward_beam,k-pop+spanish+swedish,0.16556,77.98105,0.87619,0.83318,1.44165,1.70065,3.16481,8.50033,0.33519,0.06513,0.08393
mm_beam,k-pop+spanish+swedish,0.14971,78.07036,0.8772,0.83451,1.43827,1.82226,2.47372,7.72087,0.31693,0.12933,0.14813
greedy_arc_trans,k-pop+spanish+swedish,0.16446,76.79902,0.86291,0.82997,1.35719,1.83133,3.50073,8.44068,0.32647,0.0005,0.01937
bibs_current,k-pop+spanish+swedish,0.16503,98.1427,1.10273,0.71976,1.90359,2.46427,3.49685,9.07301,0.33672,0.0,0.0188
bibs_repair,k-pop+spanish+swedish,0.16526,95.46494,1.07264,0.74502,1.79977,2.25809,3.48334,8.91904,0.33683,0.1701,0.1889
bibs_stochastic,k-pop+spanish+swedish,0.1612,103.6053,1.1641,0.66025,2.41048,3.06094,3.85603,8.54384,0.34241,0.0,0.0188
bibs_stoch_repair,k-pop+spanish+swedish,0.16436,94.07521,1.05702,0.74527,1.84945,2.28237,3.16701,8.45826,0.34268,0.16187,0.1807
bibs_parallel,k-pop+spanish+swedish,0.14113,144.48332,1.62341,0.42689,2.87263,3.15031,4.04824,7.61463,0.29876,0.01203,0.03087
mm_beam_stochastic,k-pop+spanish+swedish,0.14971,78.07036,0.8772,0.83451,1.43827,1.82226,2.47372,7.72087,0.31693,0.0,0.0188
mm_beam_stochastic_repair,k-pop+spanish+swedish,0.15023,77.8484,0.8747,0.83679,1.44487,1.81348,2.39632,7.75111,0.31686,0.15253,0.17133
mm_beam_orch_stochastic,k-pop+spanish+swedish,0.14971,78.07036,0.8772,0.83451,1.43827,1.82226,2.47372,7.72087,0.31693,0.0,0.0188
mm_beam_orch_stochastic_repair,k-pop+spanish+swedish,0.15023,77.8484,0.8747,0.83679,1.44487,1.81348,2.39632,7.75111,0.31686,0.1443,0.1631
bibs_tempo_aware,k-pop+spanish+swedish,0.15951,107.73363,1.21049,0.62326,2.56115,3.2011,4.26965,8.33829,0.33367,7.67787,7.69667
bibs_alpha2,k-pop+spanish+swedish,0.1678,107.342,1.20609,0.65082,2.37981,2.95308,3.50077,9.10101,0.34585,8.41537,8.43417
mm_beam_alpha2,k-pop+spanish+swedish,0.16833,79.45949,0.8928,0.82989,1.51812,1.80995,2.33071,8.63019,0.32695,0.19183,0.21063
bibs_traj_first,k-pop+spanish+swedish,0.16503,98.1427,1.10273,0.71976,1.90359,2.46427,3.49685,9.07301,0.33672,7.30197,7.3208
random,hardstyle+happy+metalcore,0.14372,268.91771,2.25981,-0.02935,3.33269,3.63603,4.12984,10.35571,0.30424,0.0002,0.04958
transition_greedy,hardstyle+happy+metalcore,0.15457,88.3235,0.74221,0.86736,1.17804,1.4726,3.1859,10.26274,0.31502,0.00093,0.05032
arc_assignment,hardstyle+happy+metalcore,0.07394,260.24129,2.1869,0.02874,3.23087,3.59262,4.10632,4.27505,0.28477,0.0012,0.05062
flexer_interp,hardstyle+happy+metalcore,0.12669,255.97194,2.15102,0.05527,3.25927,3.52392,4.14405,9.04838,0.22916,0.00467,0.05405
forward_beam,hardstyle+happy+metalcore,0.1472,93.7163,0.78753,0.85162,1.33505,1.58809,3.16392,9.86136,0.31363,0.21387,0.26323
mm_beam,hardstyle+happy+metalcore,0.13534,91.62555,0.76996,0.86494,1.31483,1.51751,2.42546,8.76379,0.30522,0.42977,0.47915
greedy_arc_trans,hardstyle+happy+metalcore,0.14294,90.61924,0.76151,0.85797,1.2537,1.553,3.22807,9.92039,0.30569,0.00135,0.05073
bibs_current,hardstyle+happy+metalcore,0.14834,123.0647,1.03416,0.70822,1.97372,2.53062,4.07202,10.06894,0.31382,0.0,0.04938
bibs_repair,hardstyle+happy+metalcore,0.14737,113.92701,0.95737,0.78059,1.80618,2.10366,3.06992,10.01154,0.31365,0.15802,0.2074
bibs_stochastic,hardstyle+happy+metalcore,0.14544,120.3369,1.01123,0.73354,1.82033,2.3546,4.18783,10.22194,0.31129,0.0,0.04938
bibs_stoch_repair,hardstyle+happy+metalcore,0.14584,112.45809,0.94503,0.78813,1.68739,2.08819,2.93508,10.40607,0.31155,0.1871,0.23647
bibs_parallel,hardstyle+happy+metalcore,0.13128,168.45292,1.41557,0.53843,2.53219,2.78638,3.77656,9.46712,0.30087,0.03292,0.0823
mm_beam_stochastic,hardstyle+happy+metalcore,0.13534,91.62555,0.76996,0.86494,1.31483,1.51751,2.42546,8.76379,0.30522,0.0,0.04938
mm_beam_stochastic_repair,hardstyle+happy+metalcore,0.13544,91.12292,0.76574,0.8681,1.31111,1.49239,2.32308,8.74044,0.30524,0.22233,0.27172
mm_beam_orch_stochastic,hardstyle+happy+metalcore,0.13534,91.62555,0.76996,0.86494,1.31483,1.51751,2.42546,8.76379,0.30522,0.0,0.04938
mm_beam_orch_stochastic_repair,hardstyle+happy+metalcore,0.13544,91.12292,0.76574,0.8681,1.31111,1.49239,2.32308,8.74044,0.30524,0.21005,0.25943
bibs_tempo_aware,hardstyle+happy+metalcore,0.14565,122.40262,1.02859,0.71845,1.87418,2.56276,4.01722,9.97684,0.31675,5.86038,5.90978
bibs_alpha2,hardstyle+happy+metalcore,0.1504,122.48484,1.02928,0.72155,2.01022,2.61052,3.71827,10.42344,0.31848,4.88793,4.93733
mm_beam_alpha2,hardstyle+happy+metalcore,0.14496,94.22,0.79176,0.85383,1.34797,1.64623,2.6668,9.16132,0.30005,0.31832,0.36772
bibs_traj_first,hardstyle+happy+metalcore,0.14489,120.47049,1.01236,0.72883,1.83453,2.47373,3.98459,10.01852,0.31986,4.22133,4.27073
random,groove+goth+dub,0.16089,270.26893,2.27117,0.03232,3.38732,3.713,4.2387,11.4041,0.29953,0.00027,0.07527
transition_greedy,groove+goth+dub,0.16936,96.08234,0.80741,0.85379,1.28446,1.6297,3.1468,11.62301,0.31665,0.00093,0.0759
arc_assignment,groove+goth+dub,0.06943,266.93864,2.24318,0.0362,3.44296,3.62408,4.17723,4.43637,0.25302,0.00127,0.07627
flexer_interp,groove+goth+dub,0.11403,265.13981,2.22807,0.06478,3.36116,3.63595,4.2759,7.76589,0.21684,0.00707,0.08203
forward_beam,groove+goth+dub,0.16704,99.73112,0.83808,0.84565,1.37011,1.6703,3.14084,10.99901,0.32189,0.2627,0.3377
mm_beam,groove+goth+dub,0.15811,98.97991,0.83176,0.8537,1.37136,1.58997,2.77481,9.8889,0.31007,0.4536,0.52867
greedy_arc_trans,groove+goth+dub,0.16021,97.55196,0.81976,0.84957,1.32474,1.56066,3.61399,10.62432,0.31585,0.00123,0.07623
bibs_current,groove+goth+dub,0.16157,125.32311,1.05314,0.74507,1.87289,2.21934,4.33311,11.31232,0.31595,0.0,0.075
bibs_repair,groove+goth+dub,0.1623,120.16876,1.00982,0.78268,1.6774,2.07735,3.2358,11.41635,0.31607,0.1455,0.22053
bibs_stochastic,groove+goth+dub,0.16021,129.57697,1.08888,0.71696,1.96703,2.74067,4.10832,11.17886,0.31597,0.0,0.075
bibs_stoch_repair,groove+goth+dub,0.15948,122.46761,1.02914,0.76952,1.72091,2.36039,3.14661,11.05604,0.31588,0.21517,0.29017
bibs_parallel,groove+goth+dub,0.15647,169.37673,1.42333,0.57001,2.44776,2.72708,4.00353,11.554,0.29822,0.03563,0.1106
mm_beam_stochastic,groove+goth+dub,0.15811,98.97991,0.83176,0.8537,1.37136,1.58997,2.77481,9.8889,0.31007,0.0,0.075
mm_beam_stochastic_repair,groove+goth+dub,0.15809,98.68272,0.82927,0.85566,1.37585,1.56693,2.64177,9.89525,0.3102,0.1837,0.25873
mm_beam_orch_stochastic,groove+goth+dub,0.15811,98.82877,0.83049,0.85472,1.36852,1.55313,2.63003,9.905,0.31061,0.0,0.075
mm_beam_orch_stochastic_repair,groove+goth+dub,0.15809,98.59622,0.82854,0.85598,1.3711,1.50207,2.497,9.90614,0.31078,0.20953,0.2845
