method,n_size,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
random,120,log_rise,0.18307,272.66083,2.29127,0.01342,3.38491,3.67515,4.33576,14.46131,0.31988,0.00018,0.04655
transition_greedy,120,log_rise,0.18977,95.55344,0.80297,0.8541,1.31174,1.65042,3.22287,14.30744,0.33303,0.0007,0.04707
arc_assignment,120,log_rise,0.10345,260.52705,2.1893,0.08893,3.26926,3.54074,4.2138,6.06486,0.24504,0.00103,0.04738
flexer_interp,120,log_rise,0.12525,262.71247,2.20767,0.07141,3.33925,3.57993,4.22558,9.3881,0.21209,0.00363,0.05
forward_beam,120,log_rise,0.1884,100.45392,0.84415,0.84102,1.40316,1.74835,3.1794,14.275,0.33902,0.21103,0.25741
mm_beam,120,log_rise,0.17525,99.25555,0.83408,0.84913,1.41052,1.70751,2.83502,12.66051,0.31561,0.41947,0.46584
greedy_arc_trans,120,log_rise,0.18774,97.23257,0.81708,0.84939,1.34892,1.71972,3.26096,14.30481,0.33224,0.00135,0.04772
bibs_current,120,log_rise,0.18882,132.1206,1.11026,0.69338,2.11075,2.86651,4.06048,14.40285,0.33718,0.0,0.04638
bibs_repair,120,log_rise,0.18889,123.8543,1.04079,0.75534,1.86663,2.32502,3.34602,14.39153,0.33714,0.144,0.19036
bibs_stochastic,120,log_rise,0.18795,132.26511,1.11147,0.69541,2.04146,2.83248,4.15302,14.57078,0.33762,0.0,0.04638
bibs_stoch_repair,120,log_rise,0.18799,124.55449,1.04668,0.75137,1.87572,2.30213,3.37231,14.61928,0.3376,0.1569,0.20327
bibs_parallel,120,log_rise,0.16943,176.68397,1.48474,0.52352,2.63808,2.9897,4.02343,13.26681,0.31354,0.02635,0.07271
mm_beam_stochastic,120,log_rise,0.17525,99.25555,0.83408,0.84913,1.41052,1.70751,2.83502,12.66051,0.31561,0.0,0.04638
mm_beam_stochastic_repair,120,log_rise,0.17526,98.63716,0.82888,0.85286,1.40733,1.66629,2.70868,12.66131,0.31557,0.17932,0.2257
mm_beam_orch_stochastic,120,log_rise,0.17525,99.25555,0.83408,0.84913,1.41052,1.70751,2.83502,12.66051,0.31561,0.0,0.04638
mm_beam_orch_stochastic_repair,120,log_rise,0.17526,98.63716,0.82888,0.85286,1.40733,1.66629,2.70868,12.66131,0.31557,0.16579,0.21216
bibs_tempo_aware,120,log_rise,0.18766,131.99238,1.10918,0.69215,2.15429,2.86313,4.11539,14.47755,0.33696,5.09916,5.14553
bibs_alpha2,120,log_rise,0.18425,136.59522,1.14786,0.66511,2.27866,3.04375,4.22919,14.10491,0.33523,4.60306,4.64943
mm_beam_alpha2,120,log_rise,0.17774,101.94413,0.85667,0.83954,1.44427,1.75633,2.85842,12.92557,0.31873,0.32074,0.36713
bibs_traj_first,120,log_rise,0.18915,131.99313,1.10919,0.6959,2.08247,2.81175,4.07455,14.49413,0.33886,4.73535,4.78172
