method,n_size,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
bibs_traj_first,90,wave,0.19176,104.44011,1.17348,0.66104,2.18807,2.8805,4.11065,9.01352,0.32765,6.31496,6.3415
random,90,inverted_parabola,0.19844,207.21391,2.32825,-0.0121,3.43641,3.6751,4.29154,10.38146,0.31917,0.00016,0.02608
transition_greedy,90,inverted_parabola,0.196,79.08015,0.88854,0.82796,1.47295,1.80395,3.13942,9.8333,0.32314,0.00039,0.02632
arc_assignment,90,inverted_parabola,0.13917,199.93142,2.24642,0.05603,3.34026,3.58664,4.28928,6.54401,0.29256,0.00057,0.02649
flexer_interp,90,inverted_parabola,0.17799,196.47657,2.2076,0.08084,3.29273,3.57392,4.12416,6.84475,0.20846,0.00237,0.02831
forward_beam,90,inverted_parabola,0.18228,83.25753,0.93548,0.80899,1.53273,1.91584,3.24121,8.99327,0.33881,0.08118,0.1071
mm_beam,90,inverted_parabola,0.18993,81.6189,0.91707,0.82338,1.5302,1.82796,2.72196,8.9064,0.32532,0.15538,0.18131
greedy_arc_trans,90,inverted_parabola,0.18496,81.35993,0.91416,0.81422,1.46951,1.85431,3.49649,9.30149,0.32737,0.00074,0.02668
bibs_current,90,inverted_parabola,0.18295,104.28373,1.17173,0.67736,2.17007,2.79495,3.96948,9.26634,0.33599,0.0,0.02593
bibs_repair,90,inverted_parabola,0.18282,97.65881,1.09729,0.74172,1.91626,2.30364,3.09728,9.21863,0.33576,0.10926,0.13519
bibs_stochastic,90,inverted_parabola,0.1847,106.90208,1.20115,0.65725,2.18654,2.9031,4.23725,9.31426,0.33423,0.0,0.02593
bibs_stoch_repair,90,inverted_parabola,0.18481,98.85656,1.11075,0.73684,1.91704,2.27044,3.19631,9.33722,0.3341,0.11565,0.14157
bibs_parallel,90,inverted_parabola,0.17466,141.80889,1.59336,0.47079,2.71484,2.99749,3.95266,8.86844,0.30764,0.01278,0.03872
mm_beam_stochastic,90,inverted_parabola,0.18993,81.6189,0.91707,0.82338,1.5302,1.82796,2.72196,8.9064,0.32532,0.0,0.02593
mm_beam_stochastic_repair,90,inverted_parabola,0.18989,81.07338,0.91094,0.82757,1.51603,1.79817,2.5988,8.90591,0.32526,0.14995,0.17587
mm_beam_orch_stochastic,90,inverted_parabola,0.18993,81.6189,0.91707,0.82338,1.5302,1.82796,2.72196,8.9064,0.32532,0.0,0.02593
mm_beam_orch_stochastic_repair,90,inverted_parabola,0.18989,81.07338,0.91094,0.82757,1.51603,1.79817,2.5988,8.90591,0.32526,0.14725,0.17318
bibs_tempo_aware,90,inverted_parabola,0.18389,106.34856,1.19493,0.66301,2.1955,2.95767,3.96346,9.50102,0.33398,6.66732,6.69326
bibs_alpha2,90,inverted_parabola,0.18565,110.40065,1.24046,0.6284,2.48008,3.13599,4.14001,9.5156,0.33791,6.78352,6.80945
mm_beam_alpha2,90,inverted_parabola,0.19244,84.2107,0.94619,0.80854,1.59183,1.90269,2.97386,9.15951,0.32727,0.14371,0.16965
bibs_traj_first,90,inverted_parabola,0.1827,104.57125,1.17496,0.67346,2.17346,2.835,4.02052,9.24761,0.33613,6.78084,6.80676
random,90,log_rise,0.1775,196.23776,2.20492,0.03906,3.28373,3.53738,4.25704,10.49434,0.32108,0.00016,0.02719
transition_greedy,90,log_rise,0.17896,76.16074,0.85574,0.82933,1.41602,1.76578,3.2245,10.29155,0.32366,0.00037,0.02739
arc_assignment,90,log_rise,0.09539,191.43118,2.15091,0.08221,3.22474,3.4644,3.99431,4.27491,0.24432,0.00044,0.02747
flexer_interp,90,log_rise,0.11869,194.59104,2.18642,0.05173,3.27944,3.55398,4.177,6.60533,0.21356,0.00277,0.0298
forward_beam,90,log_rise,0.17778,80.23268,0.90149,0.81285,1.47311,1.85545,3.10591,10.10965,0.32586,0.09057,0.1176
mm_beam,90,log_rise,0.16814,79.08824,0.88863,0.82426,1.47221,1.77407,2.72053,9.12276,0.30898,0.16156,0.18859
greedy_arc_trans,90,log_rise,0.17438,77.31017,0.86865,0.82646,1.42417,1.80752,3.03055,10.01094,0.3206,0.00087,0.02792
bibs_current,90,log_rise,0.17851,103.86276,1.167,0.65373,2.20159,2.89859,4.07735,10.08653,0.32739,0.0,0.02703
bibs_repair,90,log_rise,0.17845,96.35806,1.08267,0.73119,1.92996,2.31115,3.06215,10.04461,0.32725,0.12794,0.15497
bibs_stochastic,90,log_rise,0.1756,103.02005,1.15753,0.66233,2.1626,2.7995,4.01482,10.09517,0.32459,0.0,0.02703
bibs_stoch_repair,90,log_rise,0.17567,95.37832,1.07167,0.73696,1.88981,2.27174,3.18743,10.06558,0.32464,0.11397,0.14099
bibs_parallel,90,log_rise,0.15488,140.3287,1.57673,0.45192,2.73571,3.00634,3.84448,9.10157,0.30111,0.01071,0.03772
mm_beam_stochastic,90,log_rise,0.16814,79.08824,0.88863,0.82426,1.47221,1.77407,2.72053,9.12276,0.30898,0.0,0.02703
mm_beam_stochastic_repair,90,log_rise,0.16811,78.52337,0.88229,0.82879,1.45913,1.72643,2.61009,9.12317,0.30894,0.12746,0.1545
mm_beam_orch_stochastic,90,log_rise,0.16814,79.08824,0.88863,0.82426,1.47221,1.77407,2.72053,9.12276,0.30898,0.0,0.02703
mm_beam_orch_stochastic_repair,90,log_rise,0.16811,78.52337,0.88229,0.82879,1.45913,1.72643,2.61009,9.12317,0.30894,0.13695,0.16396
bibs_tempo_aware,90,log_rise,0.17799,104.19662,1.17075,0.65265,2.21188,2.97806,3.94299,10.0206,0.32606,7.28311,7.31014
bibs_alpha2,90,log_rise,0.17901,105.19464,1.18196,0.64219,2.37064,3.12057,3.94839,10.15291,0.33019,7.21027,7.23731
mm_beam_alpha2,90,log_rise,0.17376,81.62,0.91708,0.8108,1.53891,1.84311,2.77991,9.56892,0.31971,0.15244,0.17948
bibs_traj_first,90,log_rise,0.17786,102.89833,1.15616,0.66129,2.15026,2.85393,4.0182,10.07808,0.32731,6.67079,6.69783
random,90,double_peak,0.20141,207.11818,2.32717,-0.01065,3.41718,3.64613,4.13969,9.75175,0.32558,0.00015,0.02487
transition_greedy,90,double_peak,0.20714,78.8393,0.88583,0.82516,1.42875,1.80527,3.35883,8.50456,0.33693,0.00034,0.02507
arc_assignment,90,double_peak,0.06523,191.83274,2.15542,0.11401,3.2614,3.49214,4.00658,2.5571,0.28885,0.00046,0.02518
flexer_interp,90,double_peak,0.1819,198.76843,2.23335,0.06084,3.32674,3.56693,4.2854,7.39874,0.22106,0.00244,0.02719
forward_beam,90,double_peak,0.16737,82.70637,0.92929,0.8119,1.55118,1.89138,3.14688,7.55893,0.33689,0.07727,0.102
mm_beam,90,double_peak,0.15832,81.40228,0.91463,0.8228,1.51257,1.85661,2.7936,7.11016,0.32174,0.15418,0.17891
greedy_arc_trans,90,double_peak,0.1731,80.75017,0.90731,0.81744,1.46071,1.86076,3.36943,7.97656,0.32868,0.00073,0.02546
bibs_current,90,double_peak,0.16766,105.32366,1.18341,0.66664,2.17072,2.90657,4.21051,7.80703,0.33442,0.0,0.02473
bibs_repair,90,double_peak,0.16772,96.81174,1.08777,0.74646,1.87131,2.20417,3.23568,7.79553,0.33399,0.12047,0.14519
bibs_stochastic,90,double_peak,0.16739,104.38183,1.17283,0.67265,2.10288,2.77906,4.31283,7.73616,0.33614,0.0,0.02473
bibs_stoch_repair,90,double_peak,0.16739,96.61098,1.08552,0.74853,1.87908,2.20014,3.12213,7.71066,0.33605,0.13843,0.16316
bibs_parallel,90,double_peak,0.15705,143.92005,1.61708,0.45083,2.79596,3.1238,3.85572,7.7063,0.31361,0.01317,0.03791
mm_beam_stochastic,90,double_peak,0.15832,81.40228,0.91463,0.8228,1.51257,1.85661,2.7936,7.11016,0.32174,0.0,0.02473
mm_beam_stochastic_repair,90,double_peak,0.15849,80.80437,0.90791,0.82822,1.48975,1.79341,2.54426,7.1271,0.32177,0.1457,0.17042
mm_beam_orch_stochastic,90,double_peak,0.15832,81.40228,0.91463,0.8228,1.51257,1.85661,2.7936,7.11016,0.32174,0.0,0.02473
mm_beam_orch_stochastic_repair,90,double_peak,0.15849,80.80437,0.90791,0.82822,1.48975,1.79341,2.54426,7.1271,0.32177,0.14855,0.17329
bibs_tempo_aware,90,double_peak,0.16903,106.52538,1.19691,0.65604,2.2801,2.98245,4.04236,7.82326,0.33494,7.00041,7.02513
bibs_alpha2,90,double_peak,0.17409,112.19487,1.26062,0.61735,2.5062,3.13578,4.16316,8.17354,0.34005,6.18553,6.21027
mm_beam_alpha2,90,double_peak,0.16446,84.15126,0.94552,0.81104,1.57683,1.86349,2.88881,7.44183,0.32632,0.13701,0.16174
bibs_traj_first,90,double_peak,0.16918,104.86344,1.17824,0.66954,2.1697,2.9034,4.14127,7.83953,0.33547,6.05595,6.08067
random,120,linear,0.17464,272.64095,2.2911,-0.00947,3.42135,3.6848,4.22644,13.79684,0.32586,0.0002,0.04525
transition_greedy,120,linear,0.18414,93.94567,0.78946,0.85493,1.27793,1.6314,3.34688,13.76744,0.33618,0.0007,0.04576
arc_assignment,120,linear,0.07133,258.21188,2.16985,0.08676,3.23568,3.48938,4.14816,3.8276,0.23975,0.00082,0.0459
flexer_interp,120,linear,0.11685,262.49555,2.20584,0.05553,3.29009,3.53697,4.22517,9.30088,0.21881,0.00387,0.04893
forward_beam,120,linear,0.1852,98.70616,0.82946,0.84469,1.38994,1.69315,3.11523,13.30788,0.33587,0.20818,0.25323
mm_beam,120,linear,0.16314,97.3919,0.81842,0.85223,1.37205,1.66686,2.72813,12.14442,0.31479,0.40371,0.44877
greedy_arc_trans,120,linear,0.17062,95.67851,0.80402,0.85008,1.32128,1.69481,3.2879,12.63064,0.31785,0.0013,0.04635
bibs_current,120,linear,0.1794,128.86751,1.08292,0.70533,1.96449,2.66197,4.17817,13.11599,0.32965,0.0,0.04506
bibs_repair,120,linear,0.17947,120.72892,1.01453,0.76599,1.81854,2.1956,3.29835,13.14646,0.3297,0.16424,0.2093
bibs_stochastic,120,linear,0.18011,130.53375,1.09692,0.69876,2.03696,2.7586,3.99913,13.28149,0.33183,0.0,0.04506
bibs_stoch_repair,120,linear,0.18008,122.49968,1.02941,0.75804,1.83113,2.28058,3.28451,13.30302,0.33178,0.16733,0.21238
bibs_parallel,120,linear,0.16582,174.00293,1.46221,0.52965,2.58695,2.89424,3.85082,12.4279,0.31319,0.03088,0.07594
mm_beam_stochastic,120,linear,0.16314,97.3919,0.81842,0.85223,1.37205,1.66686,2.72813,12.14442,0.31479,0.0,0.04506
mm_beam_stochastic_repair,120,linear,0.16315,96.7455,0.81299,0.85654,1.37659,1.63129,2.55113,12.14642,0.31478,0.19958,0.24463
mm_beam_orch_stochastic,120,linear,0.16314,97.3919,0.81842,0.85223,1.37205,1.66686,2.72813,12.14442,0.31479,0.0,0.04506
mm_beam_orch_stochastic_repair,120,linear,0.16315,96.7455,0.81299,0.85654,1.37659,1.63129,2.55113,12.14642,0.31478,0.18503,0.23009
bibs_tempo_aware,120,linear,0.17985,127.29135,1.06968,0.71317,1.93887,2.67322,4.07967,13.14543,0.33143,5.68989,5.73494
bibs_alpha2,120,linear,0.1838,131.6877,1.10662,0.68617,2.1668,2.9692,4.04768,13.65793,0.33435,4.80838,4.85343
mm_beam_alpha2,120,linear,0.1679,100.57754,0.84519,0.84026,1.43823,1.77046,3.01501,12.50532,0.31886,0.33642,0.38148
bibs_traj_first,120,linear,0.17964,129.19759,1.08569,0.7036,1.97296,2.66204,4.16223,13.14618,0.33165,4.76122,4.80626
random,120,double_peak,0.18526,271.7433,2.28356,-0.00264,3.38263,3.64769,4.33703,12.28376,0.32561,0.0002,0.047
transition_greedy,120,double_peak,0.18644,94.24265,0.79196,0.85354,1.33309,1.63628,3.26811,10.62087,0.34126,0.00084,0.04764
arc_assignment,120,double_peak,0.06474,255.94546,2.1508,0.09887,3.25146,3.47683,4.09391,3.40271,0.28902,0.00098,0.04777
flexer_interp,120,double_peak,0.16707,264.00554,2.21853,0.04676,3.31764,3.56803,4.2169,9.41543,0.21497,0.00395,0.05075
forward_beam,120,double_peak,0.15706,99.31738,0.8346,0.83986,1.45021,1.71848,3.12878,9.50167,0.34325,0.21499,0.26178
mm_beam,120,double_peak,0.15478,97.59684,0.82014,0.85004,1.41226,1.68674,2.75982,9.03629,0.32787,0.39707,0.44387
greedy_arc_trans,120,double_peak,0.16528,95.78689,0.80493,0.85029,1.3618,1.66976,3.16476,10.05838,0.3372,0.00134,0.04814
bibs_current,120,double_peak,0.15766,128.47543,1.07963,0.70746,1.97857,2.63456,4.1617,10.07536,0.34149,0.0,0.0468
bibs_repair,120,double_peak,0.15719,120.87398,1.01575,0.76422,1.80819,2.16071,3.26329,9.99572,0.34155,0.17771,0.22453
bibs_stochastic,120,double_peak,0.15864,128.19786,1.07729,0.70885,1.94978,2.64777,4.13879,10.10959,0.3389,0.0,0.0468
bibs_stoch_repair,120,double_peak,0.15874,120.96827,1.01654,0.76329,1.81064,2.22292,3.14575,10.13164,0.339,0.16612,0.21293
bibs_parallel,120,double_peak,0.15515,173.80307,1.46053,0.52587,2.61085,2.9041,3.97933,10.09447,0.31799,0.02901,0.07581
mm_beam_stochastic,120,double_peak,0.15478,97.59684,0.82014,0.85004,1.41226,1.68674,2.75982,9.03629,0.32787,0.0,0.0468
mm_beam_stochastic_repair,120,double_peak,0.15471,97.27217,0.81741,0.85207,1.40653,1.66903,2.65472,9.03232,0.32784,0.17809,0.2249
mm_beam_orch_stochastic,120,double_peak,0.15478,97.59684,0.82014,0.85004,1.41226,1.68674,2.75982,9.03629,0.32787,0.0,0.0468
