experiment_type,n_size,playlist_idx,seed,genre_type,genres,genre_set,trajectory_shape,method,category,arc_optimized,precompute_time_s,method_time_s,total_time_s,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,random,baseline,False,0.0116,0.0001,0.0118,0.171282849414946,126.08299927578317,2.1369999877251384,0.006752796011291751,3.1823110384504485,3.4705755149712556,4.053648142827354,6.737299210660848,0.2893932812664104
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,transition_greedy,baseline,False,0.0116,0.0001,0.0118,0.19139723778912307,52.4014181670948,0.8881596299507594,0.7709993774812149,1.790488478592062,2.006666142668546,3.494079815205769,6.989467874652021,0.289861402516902
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,arc_assignment,baseline,True,0.0116,0.0001,0.0118,0.05570499898781989,122.94286981149935,2.0837774544321923,0.010187952696426472,3.29385325467204,3.511452544646967,4.050326154238741,1.5595886125904252,0.21303649693906962
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,flexer_interp,baseline,True,0.0116,0.0013,0.013,0.09380320862501122,114.50815834475317,1.9408162431314098,0.15714230647835448,3.041342391768494,3.2941504861443858,3.796931136788507,3.8496258453948626,0.21836338214239617
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,forward_beam,baseline,True,0.0116,0.0198,0.0315,0.1923595213562015,54.68169226096267,0.9268083434061469,0.7651234704190174,1.6363428633832529,2.3352397739988104,2.9024483712287457,7.05173372828268,0.2840000542476754
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,mm_beam,baseline,True,0.0116,0.0687,0.0804,0.16468605022237065,53.560526966440186,0.9078055418040709,0.7741835419082319,1.703631832828789,2.3352397739988104,3.018717968553152,6.108886145046696,0.2698547617457961
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,greedy_arc_trans,baseline,True,0.0116,0.0003,0.012,0.20456310864374513,51.88724831693046,0.8794448867276349,0.7756831472752236,1.4803629667742955,1.9798713189968475,3.9669381649109634,7.579156874917937,0.2996047471235761
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,bibs_current,ours,True,0.0116,0.0,0.0116,0.19471573148722834,65.35538646570392,1.1077184146729477,0.6644228705507604,2.145022605849603,2.359984228611167,4.02805961324457,7.628051321616814,0.28825961454458054
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,bibs_repair,ours,True,0.0116,0.0704,0.0821,0.1919226520837698,57.8205466022309,0.9800092644445915,0.7617146324445898,1.5831668655727016,2.0161041593134517,3.265841571253028,7.503736554218513,0.2854378417415744
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,bibs_stochastic,ours,True,0.0116,0.0,0.0116,0.19809058707437638,70.49237508637665,1.1947860184131636,0.6208284596868363,2.1707325599697604,2.848257755814253,3.3999343177102874,7.781494190266442,0.28794689400266726
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,bibs_stoch_repair,ours,True,0.0116,0.0641,0.0757,0.1983055152395034,65.81955211550668,1.1155856290763844,0.6812098180669208,1.9890017826594675,2.168290798584093,3.3999343177102874,7.796119457019184,0.28727030662977354
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,bibs_parallel,ours,True,0.0116,0.0044,0.0161,0.19520102400647082,89.77521327216857,1.5216137842740436,0.4325459937974826,2.5309576485732137,3.107416274216396,3.836896569031925,6.9484621059266525,0.2868619058172704
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,mm_beam_stochastic,ours,True,0.0116,0.0,0.0116,0.16468605022237065,53.560526966440186,0.9078055418040709,0.7741835419082319,1.703631832828789,2.3352397739988104,3.018717968553152,6.108886145046696,0.2698547617457961
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,mm_beam_stochastic_repair,ours,True,0.0116,0.077,0.0887,0.16537221294341772,52.00041838327471,0.8813630234453341,0.8024741468212078,1.5675572699683011,1.8617717690162616,2.417596044149214,6.116406456309982,0.2704624179460897
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,mm_beam_orch_stochastic,ours,True,0.0116,0.0,0.0116,0.16468605022237065,53.560526966440186,0.9078055418040709,0.7741835419082319,1.703631832828789,2.3352397739988104,3.018717968553152,6.108886145046696,0.2698547617457961
single_genre,60,0,60042,single_genre,"[""hardstyle""]",hardstyle,linear,mm_beam_orch_stochastic_repair,ours,True,0.0116,0.0706,0.0822,0.16537221294341772,52.00041838327471,0.8813630234453341,0.8024741468212078,1.5675572699683011,1.8617717690162616,2.417596044149214,6.116406456309982,0.2704624179460897
