method,n_size,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
mm_beam_alpha2,90,single_genre,0.17742,82.45832,0.9265,0.80861,1.57212,1.88299,2.92084,8.85437,0.31501,0.141,0.16566
bibs_traj_first,90,single_genre,0.17968,102.36919,1.15022,0.6744,2.10389,2.80144,3.98395,9.13035,0.32445,6.37496,6.39963
random,120,single_genre,0.1864,265.05432,2.22735,0.0026,3.33585,3.60607,4.29046,13.28454,0.33078,0.0002,0.05008
transition_greedy,120,single_genre,0.18623,91.60504,0.76979,0.85275,1.278,1.62919,3.24489,12.38093,0.33594,0.00078,0.05065
arc_assignment,120,single_genre,0.09307,252.14288,2.11885,0.08667,3.21724,3.46026,4.07166,5.42497,0.26967,0.0011,0.05097
flexer_interp,120,single_genre,0.14473,255.26202,2.14506,0.06659,3.23881,3.49399,4.11566,9.17761,0.21591,0.00406,0.05392
forward_beam,120,single_genre,0.17663,96.58054,0.8116,0.84065,1.39296,1.69222,3.04059,11.94888,0.34341,0.22544,0.27532
mm_beam,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.43687,0.48674
greedy_arc_trans,120,single_genre,0.17692,93.2416,0.78354,0.84911,1.29374,1.65581,3.23255,11.95991,0.3346,0.00145,0.05132
bibs_current,120,single_genre,0.17559,124.59598,1.04703,0.71068,1.92653,2.56172,4.1027,11.97134,0.34189,0.0,0.04988
bibs_repair,120,single_genre,0.17588,117.84373,0.99028,0.76287,1.78426,2.16764,3.22811,11.97477,0.34192,0.18852,0.2384
bibs_stochastic,120,single_genre,0.17553,125.29656,1.05291,0.70651,1.9471,2.6211,4.02003,11.9145,0.3407,0.0,0.04988
bibs_stoch_repair,120,single_genre,0.17526,117.26573,0.98543,0.76525,1.76367,2.15726,3.19489,11.89491,0.3407,0.17634,0.2262
bibs_parallel,120,single_genre,0.16439,169.12718,1.42124,0.53003,2.55506,2.88852,3.88128,11.62159,0.31792,0.03058,0.08046
mm_beam_stochastic,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.0,0.04988
mm_beam_stochastic_repair,120,single_genre,0.17055,94.60935,0.79504,0.85255,1.36762,1.63975,2.66379,11.1573,0.32695,0.2115,0.26138
mm_beam_orch_stochastic,120,single_genre,0.1706,95.27293,0.80061,0.8481,1.38069,1.66652,2.84577,11.16209,0.32698,0.0,0.04988
mm_beam_orch_stochastic_repair,120,single_genre,0.17055,94.60935,0.79504,0.85255,1.36762,1.63975,2.66379,11.1573,0.32695,0.18824,0.23813
bibs_tempo_aware,120,single_genre,0.17519,124.80634,1.04879,0.70629,2.00071,2.62862,4.12893,11.96775,0.34139,5.81566,5.86554
bibs_alpha2,120,single_genre,0.17378,130.09088,1.0932,0.67639,2.17837,2.90461,4.03225,12.07646,0.33885,5.10014,5.15003
mm_beam_alpha2,120,single_genre,0.17004,97.5897,0.82008,0.84038,1.40574,1.72615,2.90145,11.12944,0.32868,0.33717,0.38705
bibs_traj_first,120,single_genre,0.17626,125.16951,1.05184,0.70646,1.93161,2.59188,4.11029,11.98079,0.34404,4.91236,4.96224
random,60,similar_genres,0.19268,135.99918,2.30507,0.02593,3.39986,3.64668,4.06304,6.72292,0.31076,0.00019,0.02505
transition_greedy,60,similar_genres,0.19812,59.5099,1.00864,0.78411,1.62184,2.03128,3.25886,6.42549,0.31083,0.00029,0.02516
arc_assignment,60,similar_genres,0.08916,132.26584,2.24179,0.06928,3.35486,3.62667,4.08417,2.71452,0.25976,0.00031,0.02518
flexer_interp,60,similar_genres,0.15149,131.76297,2.23327,0.08436,3.30363,3.53528,4.07592,4.75904,0.21095,0.00278,0.02765
forward_beam,60,similar_genres,0.18443,61.77675,1.04706,0.77039,1.70254,2.03837,3.20889,6.103,0.31469,0.04985,0.07472
mm_beam,60,similar_genres,0.17529,60.82037,1.03085,0.78389,1.67196,1.95889,2.84103,5.66261,0.30064,0.0958,0.12067
greedy_arc_trans,60,similar_genres,0.18423,60.44117,1.02443,0.77739,1.6494,2.04598,3.27616,6.09664,0.31246,0.00061,0.02547
bibs_current,60,similar_genres,0.18799,77.10366,1.30684,0.61317,2.39481,3.07615,4.02362,6.48754,0.31829,0.0,0.02486
bibs_repair,60,similar_genres,0.187,70.04831,1.18726,0.70957,2.02314,2.4078,3.1329,6.39911,0.31774,0.16273,0.18759
bibs_stochastic,60,similar_genres,0.18569,76.62948,1.2988,0.62297,2.40028,3.00167,3.86323,6.50276,0.31708,0.0,0.02486
bibs_stoch_repair,60,similar_genres,0.18586,70.78966,1.19982,0.7046,2.06227,2.40208,3.09471,6.45183,0.31661,0.17205,0.19691
bibs_parallel,60,similar_genres,0.17498,95.1268,1.61232,0.4797,2.66276,2.95172,3.85369,6.09697,0.30477,0.00835,0.03323
mm_beam_stochastic,60,similar_genres,0.17529,60.82037,1.03085,0.78389,1.67196,1.95889,2.84103,5.66261,0.30064,0.0,0.02486
mm_beam_stochastic_repair,60,similar_genres,0.17559,60.17295,1.01988,0.79173,1.65292,1.91508,2.6601,5.6539,0.30069,0.17852,0.20337
mm_beam_orch_stochastic,60,similar_genres,0.17529,60.82037,1.03085,0.78389,1.67196,1.95889,2.84103,5.66261,0.30064,0.0,0.02486
mm_beam_orch_stochastic_repair,60,similar_genres,0.17559,60.17295,1.01988,0.79173,1.65292,1.91508,2.6601,5.6539,0.30069,0.16906,0.19393
bibs_tempo_aware,60,similar_genres,0.1848,77.41121,1.31205,0.60984,2.39024,3.06199,4.16319,6.38412,0.31833,2.00425,2.0291
bibs_alpha2,60,similar_genres,0.18505,80.41833,1.36302,0.57213,2.70351,3.27522,4.0766,6.35755,0.32028,1.69623,1.72109
mm_beam_alpha2,60,similar_genres,0.18146,62.02151,1.05121,0.77484,1.70018,2.07786,2.86598,5.88065,0.30979,0.07079,0.09566
bibs_traj_first,60,similar_genres,0.18794,76.96916,1.30456,0.61471,2.38699,3.0703,4.0124,6.49507,0.31871,1.71817,1.74303
random,90,similar_genres,0.19576,200.25167,2.25002,0.01022,3.34793,3.60447,4.14001,10.50471,0.32405,0.00017,0.03236
transition_greedy,90,similar_genres,0.19833,77.35212,0.86912,0.82601,1.42426,1.7552,3.17365,9.84853,0.32782,0.00042,0.03262
arc_assignment,90,similar_genres,0.10002,192.58254,2.16385,0.07715,3.24691,3.50076,4.09365,4.42805,0.26783,0.00056,0.03276
flexer_interp,90,similar_genres,0.15405,193.56227,2.17486,0.07048,3.23878,3.51453,4.09346,7.24445,0.22191,0.00293,0.03513
forward_beam,90,similar_genres,0.17864,81.55632,0.91636,0.80727,1.51451,1.89235,3.16305,9.22849,0.32632,0.09917,0.13137
