method,experiment_type,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
bibs_repair,all_genres,0.19202,99.65227,1.13478,0.73389,1.97454,2.33331,3.18732,9.60588,0.34102,0.11854,0.14507
bibs_stochastic,all_genres,0.19225,107.13472,1.22365,0.66046,2.2327,2.91997,4.17974,9.66739,0.3404,0.0,0.02651
bibs_stoch_repair,all_genres,0.19213,99.77915,1.135,0.73383,1.95117,2.32526,3.26391,9.66143,0.34023,0.11928,0.1458
bibs_parallel,all_genres,0.17921,139.9919,1.58626,0.49515,2.70233,2.99962,3.91076,9.19998,0.31269,0.01552,0.04204
mm_beam_stochastic,all_genres,0.18438,82.72846,0.94947,0.81664,1.56144,1.86838,2.86853,8.7956,0.3211,0.0,0.02651
mm_beam_stochastic_repair,all_genres,0.18457,82.17676,0.9425,0.82194,1.54552,1.82996,2.69077,8.80244,0.32114,0.132,0.15851
mm_beam_orch_stochastic,all_genres,0.18438,82.72846,0.94947,0.81664,1.56144,1.86838,2.86853,8.7956,0.3211,0.0,0.02651
mm_beam_orch_stochastic_repair,all_genres,0.18457,82.17676,0.9425,0.82194,1.54552,1.82996,2.69077,8.80244,0.32114,0.14239,0.1689
bibs_tempo_aware,all_genres,0.19173,107.72032,1.2346,0.6533,2.26523,3.00263,4.08123,9.62285,0.34097,4.28186,4.30837
bibs_alpha2,all_genres,0.19707,111.92542,1.28321,0.61765,2.55455,3.19536,4.18341,9.96825,0.34476,4.10227,4.12879
mm_beam_alpha2,all_genres,0.19095,85.09814,0.97595,0.80471,1.6233,1.95667,2.9497,9.13269,0.32661,0.18265,0.20916
bibs_traj_first,all_genres,0.19245,107.75676,1.23459,0.65137,2.32342,2.96581,4.12923,9.66926,0.34189,4.07666,4.10317
