experiment_type,n_size,playlist_idx,seed,genre_type,genres,genre_set,trajectory_shape,method,category,arc_optimized,precompute_time_s,method_time_s,total_time_s,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,random,baseline,False,0.0231,0.0002,0.0233,0.1658863971045453,127.26172332210876,2.156978361391674,0.03515349812390167,3.406515571462922,3.6710498786080668,4.113748378906665,6.872942851808974,0.3477566990667043
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,transition_greedy,baseline,False,0.0231,0.0004,0.0235,0.1703907057135463,56.21188842128518,0.9527438715472064,0.8002835879318462,1.4623415794586438,1.5240350260631046,2.8368233415863595,6.9835206399049,0.3562878371396018
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,arc_assignment,baseline,True,0.0231,0.0002,0.0233,0.033943203403002456,134.21308158781474,2.2747979930138094,-0.043883433066414845,3.4560282613096875,3.620712864266705,3.949997416450927,0.9205920560837092,0.2972092433625163
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,flexer_interp,baseline,True,0.0231,0.0032,0.0263,0.14410634185454071,129.36229820631468,2.192581325530757,0.008228881540899513,3.3217456248788912,3.652731608743878,4.212733936583198,6.088448094371741,0.30774345317670737
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,forward_beam,baseline,True,0.0231,0.0448,0.0679,0.17472369909969565,57.66446253769644,0.9773637718253634,0.7909236671915864,1.4802260099457931,1.5656710465520471,2.7448974919053186,6.816508075810826,0.36505441668473626
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,mm_beam,baseline,True,0.0231,0.1058,0.1289,0.1681993089714193,57.476265185223,0.9741739861902203,0.8023139027158067,1.516362089510876,1.745054206937641,2.1570396803608913,6.840025233387345,0.3594036711469724
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,greedy_arc_trans,baseline,True,0.0231,0.0006,0.0237,0.16363638947154938,55.485613221407185,0.940434122396732,0.8126550862532625,1.469808694896246,1.511016542504611,2.6934179480377836,6.530390859752122,0.35258391318586124
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,bibs_current,ours,True,0.0231,0.0,0.0231,0.17675786018533599,71.2154093525289,1.2070408364835405,0.643709453389615,1.9978878819848873,2.852063241979606,4.008102558647873,6.802778384233325,0.3596272025977311
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,bibs_repair,ours,True,0.0231,0.0769,0.1,0.17680841478841747,63.01176731498311,1.0679960561861543,0.7590689082848553,1.6784043361539676,1.8438992374824044,2.6618284314044676,6.793379468400844,0.35923228161542076
similar_genres,60,0,70042,similar_genres,"[""industrial"", ""progressive-house"", ""metal""]",industrial+progressive-house+metal,linear,bibs_stochastic,ours,True,0.0231,0.0,0.0231,0.16495155458177932,66.48427748249338,1.1268521607202269,0.707592958714226,1.715864598158203,2.0702522597903146,3.4256559105164093,6.873737317424394,0.3540491981718179
