method,trajectory_shape,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p90_transition,p95_transition,max_transition,dtw_shape,ratio_adherence_rmse,method_time_s,total_time_s
bibs_tempo_aware,double_peak,0.16566,107.22321,1.16521,0.67205,2.17022,2.82578,4.03936,8.02501,0.33743,4.82138,4.85392
bibs_alpha2,double_peak,0.16975,112.75462,1.22586,0.63018,2.446,3.07221,4.08507,8.3178,0.34131,4.40158,4.43413
mm_beam_alpha2,double_peak,0.16528,85.46366,0.93139,0.81071,1.56986,1.88651,2.95065,7.59129,0.32682,0.20099,0.23355
bibs_traj_first,double_peak,0.16601,107.15472,1.16241,0.67353,2.10711,2.82131,4.09038,8.05836,0.33798,4.24472,4.27727
random,inverted_parabola,0.19775,205.48105,2.3042,0.00012,3.41415,3.64463,4.21481,10.413,0.32161,0.00017,0.03015
transition_greedy,inverted_parabola,0.19807,78.37974,0.89746,0.82087,1.46658,1.81911,3.19539,9.9265,0.32878,0.00042,0.03042
arc_assignment,inverted_parabola,0.13758,199.45985,2.23752,0.05128,3.34959,3.59967,4.18129,6.54964,0.29278,0.00067,0.03066
flexer_interp,inverted_parabola,0.17614,196.35953,2.20243,0.07666,3.30497,3.57048,4.11039,7.01889,0.20816,0.00268,0.03268
forward_beam,inverted_parabola,0.18338,82.18659,0.94022,0.80569,1.54786,1.88963,3.16286,9.06942,0.34483,0.10606,0.13604
mm_beam,inverted_parabola,0.1932,80.98591,0.92679,0.81656,1.53893,1.83754,2.79325,8.89932,0.32907,0.2047,0.23469
greedy_arc_trans,inverted_parabola,0.18639,80.2721,0.91966,0.81091,1.48025,1.87303,3.39207,9.35168,0.33522,0.00084,0.03084
bibs_current,inverted_parabola,0.18393,104.59533,1.19243,0.66089,2.22659,2.88699,4.03699,9.36029,0.34171,0.0,0.02999
bibs_repair,inverted_parabola,0.1839,97.32726,1.10519,0.73465,1.921,2.31642,3.13909,9.32977,0.34141,0.12596,0.15595
bibs_stochastic,inverted_parabola,0.18498,105.5544,1.20216,0.65316,2.21323,2.92309,4.2078,9.2571,0.34058,0.0,0.02999
bibs_stoch_repair,inverted_parabola,0.18489,97.44773,1.10657,0.73521,1.91053,2.28074,3.17892,9.24057,0.34049,0.13309,0.16308
bibs_parallel,inverted_parabola,0.17834,137.17165,1.55155,0.49239,2.65576,2.95455,3.92329,9.20475,0.3164,0.01604,0.04604
mm_beam_stochastic,inverted_parabola,0.1932,80.98591,0.92679,0.81656,1.53893,1.83754,2.79325,8.89932,0.32907,0.0,0.02999
mm_beam_stochastic_repair,inverted_parabola,0.19316,80.39764,0.91932,0.82223,1.52404,1.7934,2.65227,8.89502,0.329,0.14834,0.17833
mm_beam_orch_stochastic,inverted_parabola,0.1932,80.9797,0.92674,0.8166,1.53882,1.83602,2.7873,8.89998,0.32909,0.0,0.02999
mm_beam_orch_stochastic_repair,inverted_parabola,0.19316,80.39408,0.91929,0.82224,1.52385,1.79073,2.64632,8.89547,0.32902,0.14939,0.17939
bibs_tempo_aware,inverted_parabola,0.18246,105.29584,1.20374,0.65263,2.2224,2.89721,4.07568,9.30658,0.34046,4.66458,4.69457
bibs_alpha2,inverted_parabola,0.18432,109.68388,1.25357,0.61753,2.50293,3.13899,4.09966,9.4921,0.34188,4.56955,4.59955
mm_beam_alpha2,inverted_parabola,0.19438,83.31712,0.95339,0.80417,1.5826,1.90718,2.9218,9.03291,0.33034,0.18482,0.21482
bibs_traj_first,inverted_parabola,0.18378,104.76662,1.19494,0.65826,2.23445,2.90078,4.05485,9.35006,0.34265,4.46631,4.4963
