position,track_index,track_id,track_name,artists,track_genre,EV_score,tempo,camelot,energy,valence,key,mode,time_signature,loudness,acousticness,instrumentalness,liveness,speechiness
92,109,5DEp8hauuZ45oG38YOkkQq,Aziyat,Pratsofficial,pop,0.4433924568416062,104.961,6B,0.437,0.233,10,1,4,-8.655,0.758,0.00801,0.106,0.0271
93,34,0T5iIrXA4p5GsubkhuBIKV,Until I Found You,Stephen Sanchez,pop,0.4389075608226147,101.358,6B,0.508,0.227,10,1,3,-6.05,0.727,0.0,0.174,0.0288
94,251,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,pop,0.36452149592828825,102.078,7B,0.425,0.27,5,1,3,-7.301,0.584,0.0,0.322,0.0333
95,75,53S98SFeRSxjd7F7eUnfAJ,Teri Hogaiyaan,Vishal Mishra,pop,0.427254215591607,106.322,7B,0.43,0.51,5,1,5,-8.313,0.779,0.000172,0.0941,0.0336
96,231,0mJTAdmY8olbGQjopDYff3,Vaaste,Dhvani Bhanushali;Nikhil D'Souza;Tanishk Bagchi,pop,0.41330937670026513,89.892,7B,0.479,0.315,5,1,4,-5.586,0.454,0.0,0.095,0.0436
97,191,3hUxzQpSfdDqwM3ZTFQY0K,august,Taylor Swift,pop,0.4538240954942598,89.937,7B,0.623,0.403,5,1,4,-9.208,0.538,7.28e-05,0.0925,0.0331
98,232,0tjnLIbuF8mwLUKq3CNIdH,Jug Jug Jeeve,Sachet Tandon;Parampara Tandon;Sachin-Jigar,pop,0.545728164059912,90.097,4A,0.632,0.699,5,0,4,-7.58,0.413,0.0,0.118,0.0608
99,139,1f660M0jwz7F4qlDjTSLmO,Phulkari,Karan Randhawa,pop,0.5980988997637127,81.781,4A,0.785,0.764,5,0,4,-5.865,0.204,0.0,0.0835,0.0675
100,91,2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,One Direction,pop,0.535924547856691,77.217,3A,0.768,0.545,10,0,4,-5.948,0.00433,0.0,0.114,0.0347
101,223,4t77OsiudWy4timV32lPa2,Backbone,Harrdy Sandhu,pop,0.5716503255517217,84.659,2A,0.828,0.483,3,0,4,-2.495,0.053,0.0,0.135,0.114
102,78,07fDD54BLVrdAvM4krVGlG,Black Life,Navaan Sandhu,pop,0.5904044590841735,89.81,2A,0.682,0.646,3,0,4,-6.518,0.00392,0.0,0.181,0.137
103,97,4qoIqWSly3rnZdCTgtcCMz,Pta Mainu,Harvi,pop,0.6422332393968639,90.047,2A,0.825,0.631,3,0,4,-4.417,0.0527,0.0,0.0963,0.196
104,219,5e08a8D8T3z4LDXbUIjxKQ,Wait a Minute!,WILLOW,pop,0.6545542893559197,101.003,2A,0.705,0.672,3,0,4,-5.279,0.0371,1.94e-05,0.0943,0.0278
105,299,0MLVUkrPCpViDnl0R9dCpp,Friends,Justin Bieber;BloodPop®,pop,0.6511092041666176,104.979,4B,0.735,0.631,8,1,4,-5.337,0.00389,0.0,0.304,0.0382
106,51,5voGwQrvBz8ZlhU05NZvw4,Daryaa,Ammy Virk;Shahid Mallya,pop,0.4499585182311276,91.999,4B,0.526,0.231,8,1,4,-5.029,0.153,2.34e-06,0.103,0.0251
107,5,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran,pop,0.4183908769628927,95.05,4B,0.448,0.168,8,1,3,-6.312,0.163,0.0,0.106,0.0232
108,283,6fhG2KJgwO7CrNflRaRmvp,Dandelions - slowed + reverb,Ruth B.;slater,pop,0.5320095163742763,101.699,1A,0.715,0.258,8,0,3,-3.293,0.0444,0.0,0.0898,0.0256
109,32,5rRifW8OsCeZaqDPjxTSTq,Cherry,Lana Del Rey,pop,0.40889610419404515,121.292,1A,0.533,0.347,8,0,3,-9.493,0.0471,0.00107,0.384,0.0613
110,39,09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,The Weeknd,pop,0.4799709527011716,134.17,3B,0.593,0.175,1,1,3,-4.954,0.17,0.0,0.307,0.0356
111,68,2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,pop,0.6042622858442289,116.959,3B,0.692,0.454,1,1,3,-2.958,0.0157,0.0,0.0864,0.0259
