preset,arc_rmse,total_transition_cost,average_transition_cost,global_coherence,p95_transition,max_transition,composite_score
baseline+repair,0.20617164954937284,147.48990797313795,0.9898651541821338,0.8032506805616662,1.9238011785321012,2.982165030322017,0.25
stronger_transition,0.2022829385147769,149.67763760908497,1.0045479034166775,0.7867967948043241,1.9477420903759917,3.7523782022380754,0.30024264390059263
stoch_elig+repair,0.20071481434275582,150.0140740340422,1.0068058660002834,0.7861881939053441,2.1741050574493226,3.315553748247963,0.36634144767783283
baseline_current,0.20574642665610124,152.45914451332447,1.023215734988755,0.7723652321848078,2.2933487800451764,3.3713811144345116,0.5438076807829428
eligibility,0.20574642665610124,152.45914451332447,1.023215734988755,0.7723652321848078,2.2933487800451764,3.3713811144345116,0.5438076807829428
stronger_arc,0.1835899908358348,158.71061985871404,1.0651719453604969,0.7447850173822959,2.60226792230471,4.073170193388442,0.5880957024636131
commit_beams,0.2037082995492653,154.9624546811448,1.0400164743700995,0.7439237033892165,2.6610799064662904,4.366946643862513,0.7709671281087489
stochastic,0.20148764336184882,157.68415049362758,1.058282889218977,0.7431745513017635,2.6310612907602366,3.9747876092290837,0.7836773198955417
wider_beam_8,0.20349264451643836,162.55904289786827,1.0910002879051561,0.7192239250175052,2.6677592141639934,4.159802013893541,0.9703409184095014
